N,T,s,w,n_seeds,extinction_time_mean,extinction_time_median,extinction_time_min,extinction_time_max,extinction_time_q25,extinction_time_q75,edge_contact_fraction,late_distance_mean_mean,late_distance_mean_std,late_distance_q25,late_distance_q75,final_R_mean,final_P_mean
150,30000,0.8,0.1,20,11234.55,9069.0,3042,30001,4739.75,15190.25,0.95,0.5865840422188858,0.1664775935773448,0.4675528421855367,0.7453559924999239,0.382,0.33066666666666666
150,30000,0.8,0.5,20,12487.75,11194.5,4743,29479,8789.0,14943.0,1.0,0.6329098650228133,0.1458838563436686,0.4714045207910316,0.7453559924999239,0.3,0.4103333333333333
150,30000,0.8,1.0,20,17911.05,16848.0,5902,30001,12935.0,25901.75,0.8,0.5773984802455507,0.20670185547347666,0.45449016772630824,0.7453559924999239,0.36766666666666664,0.4066666666666666
150,30000,1.0,0.1,20,11868.0,10534.5,3042,26284,4728.25,16590.25,1.0,0.5646971548592544,0.1731745060285501,0.38496806330216504,0.7453559924999239,0.40366666666666673,0.2546666666666667
150,30000,1.0,0.5,20,9609.7,8426.0,3199,19557,5426.0,12665.5,1.0,0.6164896583862591,0.13958566475037362,0.4714045207910316,0.7453559924999239,0.35,0.20400000000000001
150,30000,1.0,1.0,20,12806.55,12563.5,5263,27043,7181.75,16307.25,1.0,0.6529415202579825,0.12508403004276347,0.4714045207910316,0.7453559924999239,0.24966666666666665,0.45533333333333326
150,30000,1.2,0.1,20,11352.6,10534.5,3042,22919,5376.25,15953.0,1.0,0.5761041227728263,0.15854340892591862,0.46649650368869805,0.7453559924999239,0.43633333333333335,0.2753333333333333
150,30000,1.2,0.5,20,10883.6,10206.5,2848,21324,6655.0,14020.75,1.0,0.581026723722281,0.15006306635558772,0.4714045207910316,0.7453559924999239,0.26066666666666666,0.24766666666666665
150,30000,1.2,1.0,20,12395.25,11383.5,3367,30001,6331.25,17837.75,0.95,0.6208101185714129,0.15845498151593354,0.4714045207910316,0.7453559924999239,0.358,0.2816666666666666
