beta,seed,C,late_distance_mean,final_R,final_P,final_S,normalized_payoff
0.0,0,0.642857142857143,0.007510443588173854,0.345,0.33,0.325,True
0.0,1,0.642857142857143,0.01659031873070475,0.350625,0.29625,0.353125,True
0.0,2,0.642857142857143,0.013940051341130442,0.326875,0.326875,0.34624999999999995,True
0.0,3,0.642857142857143,0.061916871442170146,0.385,0.341875,0.273125,True
0.0,4,0.642857142857143,0.0687927451678661,0.350625,0.25,0.39937500000000004,True
0.0,5,0.642857142857143,0.02067759656495462,0.36125,0.33875,0.29999999999999993,True
0.0,6,0.642857142857143,0.03730783348154687,0.301875,0.3625,0.335625,True
0.0,7,0.642857142857143,0.030702793047625725,0.368125,0.305625,0.32625,True
0.1,0,0.466052444083694,0.08218552153084877,0.33,0.421875,0.24812499999999993,True
0.1,1,0.47939993686868687,0.03483909588080918,0.28875,0.3375,0.3737499999999999,True
0.1,2,0.47781158424908426,0.0367079856183429,0.295625,0.34875,0.35562499999999997,True
0.1,3,0.45798895202020196,0.02514620875822272,0.33,0.3025,0.36749999999999994,True
0.1,4,0.4692838203463204,0.06442981161167922,0.395625,0.305,0.299375,True
0.1,5,0.4641543109668109,0.04668303542024061,0.3275,0.39625,0.27625,True
0.1,6,0.4701906114718615,0.021138385591826903,0.341875,0.319375,0.33875000000000005,True
0.1,7,0.47427890512265514,0.07321037859475685,0.26,0.318125,0.421875,True
0.5,0,0.08242412101787101,0.012837408915210685,0.348125,0.33375,0.318125,True
0.5,1,0.08799226814851814,0.08514558679123932,0.40875,0.279375,0.31187500000000007,True
0.5,2,0.08806285381285381,0.13230949456944044,0.246875,0.440625,0.31250000000000006,True
0.5,3,0.08629763639138638,0.06564836561748205,0.30875,0.40125,0.2899999999999999,True
0.5,4,0.0810775856088356,0.05762751781632325,0.356875,0.355625,0.2874999999999999,True
0.5,5,0.08474550102675103,0.025823862099158316,0.3075,0.313125,0.379375,True
0.5,6,0.08715960775335774,0.02045359877471732,0.290625,0.3525,0.356875,True
0.5,7,0.08583437395937395,0.06416754701813743,0.30875,0.27625,0.4149999999999999,True
